category,model,name,title,image,price,description,properties
Ванная,Всплеск эмоций,"05440 Дизайн - панели PANDA ""Всплеск эмоций""","05440 Дизайн - панели PANDA ""Всплеск эмоций""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/3dd/3dd84a223da56d1721ffd6b31c4e6507.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/8ef/8ef15940d6669f2e0a66fff56f030e43.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/364/36471f820f96f6c05caa0cfdb3a0ba0a.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7м|Ширина---0,25м|Толщина---8 мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7кг"
Ванная,Всплеск эмоций,"05450 Дизайн - панели PANDA ""Всплеск эмоций""","05450 Дизайн - панели PANDA ""Всплеск эмоций""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/240/240f8d9e69193db116e76d934abbab18.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/8ef/8ef15940d6669f2e0a66fff56f030e43.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/364/36471f820f96f6c05caa0cfdb3a0ba0a.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7м|Ширина---0,25м|Толщина---8 мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7кг"
Ванная,Грация,04820 дизайн-панели PANDA Грация,04820 дизайн-панели PANDA Грация,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/caf/cafd2ef9ee8ad2436ca926ef8b5ce17d.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5ba/5baf336183e1d74aa50767ab46f41a45.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/ab9/ab9295f1fb95c0aa1a10ba7d9a033c11.jpg",1784,,"Высота---2,7м|Ширина---0,25м|Толщина---8мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Вечер в Голландии,"06320 дизайн-панели PANDA ""Вечер в Голландии""","06320 дизайн-панели PANDA ""Вечер в Голландии""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/07b/07b25f95d96eb5a6f91e2e963704a063.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5b8/5b8ea5889c952d6c6d6173c60c81c56f.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/fad/fadbfa015affc474f3334fa463c07610.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,675 кв.м.|Упаковка---12 шт.|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Вечер в Голландии,"06330 дизайн-панели PANDA ""Вечер в Голландии""","06330 дизайн-панели PANDA ""Вечер в Голландии""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/442/442c0ce44d6183a8b921efc6532afcdc.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5b8/5b8ea5889c952d6c6d6173c60c81c56f.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/fad/fadbfa015affc474f3334fa463c07610.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,675 кв.м.|Упаковка---12 шт.|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Вечер в Голландии,"06340 дизайн-панели PANDA ""Вечер в Голландии""","06340 дизайн-панели PANDA ""Вечер в Голландии""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/834/834d865f566bd8572c661ebbd0caaea4.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5b8/5b8ea5889c952d6c6d6173c60c81c56f.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/fad/fadbfa015affc474f3334fa463c07610.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,675 кв.м.|Упаковка---12 шт.|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Лазурь,"07310 дизайн-панели PANDA ""Лазурь""","07310 дизайн-панели PANDA ""Лазурь""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/ffe/ffe5565c01080e732d35093207103a2d.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5bf/5bff22a526100505ae9c4a3be10531a5.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/772/7723812c06cc13f5d9b42f2d83bf0aa0.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/2fb/2fbf62ebc26bec039027b6d9e4059a7b.png",1784,"&lt;p&gt;
 &lt;strong&gt; Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.&lt;/strong&gt;
&lt;/p&gt;","Наши предложения---Новинка|Высота---2,7 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,675 кв.м.|Упаковка---12 панелей|Объем упаковки---0, 077 куб.м"
Ванная,Прогулка в Чехии,"05910 дизайн-панели PANDA ""Прогулка в Чехии""","05910 дизайн-панели PANDA ""Прогулка в Чехии""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/6eb/6ebfa97fbc76a361e16dcdac8221e6dd.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/92a/92abb38ad89769b99b1577f5abf3fd8e.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/fbb/fbb04c74757d57b671abe9a563d404ff.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,675 кв.м.|Упаковка---12 шт.|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Винтаж,04910 дизайн-панели PANDA Винтаж,04910 дизайн-панели PANDA Винтаж,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/246/246ab4a870792197f7ee461aa95e3100.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/1e1/1e162f497403b7424c91583a170bde80.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/6dc/6dc074bbeec52c0a1692458294ea6a6b.png",1784,,"Высота---2,7м|Ширина---0,25м|Толщина---8мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Для потолка,Потолочная панель. Небо,04120 дизайн - панели PANDA Потолочная панель. Небо Панно,04120 дизайн - панели PANDA Потолочная панель. Небо Панно,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/7b0/7b05fecaf6953d457efdbe3397a13547.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/a3e/a3edca4f30bbbff2e8b5a31ff78f8112.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/480/480284a9ffb4c0d1eb3b9d0586720b5a.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/349/349df06d2d04a7977a545cf2ffef2e80.png",2800,,"Комплект шт---8|Высота---2 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,5 кв.м.|Упаковка---16 панелей|Объем упаковки---0,07 куб.м."
