product_id,Category,Name,Title,Image,Price
13,Оранда™,"""Белые розы фон 852"" панель ПВХ 250х2700х8 мм","""Белые розы фон 852"" панель ПВХ 250х2700х8 мм",https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/9c0/9c0b1a07b62bb4f3c1dc72a06b44c8c8.jpg?160089652324064,232
14,Оранда™,"""Бархат фон 852/1"" панель ПВХ 250х2700х8 мм","""Бархат фон 852/1"" панель ПВХ 250х2700х8 мм",https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/bb4/bb416476a76fee9654c10d94efb70b78.jpg?1625739627276821,232
15,Оранда™,"""Компаньон к Подснежникам и Рыбкам 830"" панель ПВХ 250х2700х8 мм","""Компаньон к Подснежникам и Рыбкам 830"" панель ПВХ 250х2700х8 мм","https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/a4f/a4f086fd9af9078b33a3ac983359c560.jpg?160088094261653,https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/c76/c76406402e542ec730c98f35bbc1c75e.webp?159351707481764,https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/977/977817c94ed4a3aad6a849fb73a1c047.webp?1593517074110200",232
16,FANTASY ФАРН,"""Императрица 629"" панель ПВХ 250х2700х8 мм","""Императрица 629"" панель ПВХ 250х2700х8 мм","https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/45d/45d91ca3d32c2ddd3bea247acbaf9797.jpg?160088900255905,https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/c7b/c7b93a4558aae12d4b7a6007fe540c7b.jpg?160088912171046",217
17,Пробуждение,"""Сеньора компаньон 632/1"" панель ПВХ 250х2700х8 мм","""Сеньора компаньон 632/1"" панель ПВХ 250х2700х8 мм","https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/85a/85a0b636830f58e6674adfad014a0fe4.png?1600881022223429,https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/cd3/cd3b54e0f567b1030d6de0241fe9375e.jpg?160089627891351",217
18,Дерево и камень,"""Сланец 630"" панель ПВХ 250х2700х8 мм","""Сланец 630"" панель ПВХ 250х2700х8 мм","https://1617657.ssl.1c-bitrix-cdn.ru/upload/adwex.minified/webp/ba1/80/ba1edfd76252ea52b388096301b30817.webp?161504989241106,https://1617657.ssl.1c-bitrix-cdn.ru/upload/adwex.minified/webp/034/80/0349294b639be38c8d1be66d0ed69896.webp?1615278353107876",217
19,Дерево и камень,"""Кирпич 347"" панель ПВХ 250х2700х8 мм","""Кирпич 347"" панель ПВХ 250х2700х8 мм","https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/eaa/eaaf663b27042e2a4f2e35f320ab50a9.jpg?160088900316232,https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/3aa/3aa5469476155c374f43da4ca53b5798.jpg?160088172741292",217
20,Основная коллекция,"""Египет 52"" панель ПВХ 250х2700х8 мм","""Египет 52"" панель ПВХ 250х2700х8 мм",https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/355/35579e34172b3b58a3f81a874e514721.jpg?160088203026875,217
21,Multiline,"""Орхидея белая 0114-1"" панель ПВХ 250х2700х8 мм","""Орхидея белая 0114-1"" панель ПВХ 250х2700х8 мм","https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/cc8/cc8229fbef6a13ce7d92a39926c71827.jpg?156379024332674,https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/4ef/4efdc996d88c730d7c86487897c5d6f9.png?1600881734363498",217
22,Ля Флер Энерджи,"""Мраморный калейдоскоп 653"" панель ПВХ 250х2700х8 мм","""Мраморный калейдоскоп 653"" панель ПВХ 250х2700х8 мм","https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/b96/b969edd7d5e2e6d9b3c58258062f85bc.jpg?161415551026147,https://1617657.ssl.1c-bitrix-cdn.ru/upload/iblock/9fb/9fb2e3d3075718ab93a57ea4c59f5871.jpg?161381550044140",217
